Name	K	nBurn	nSamp	alpha	a	b	sigma2mu	sigma2a
Test1	3	10000	10000	0.3333	0.1	0.001	1	1
Test2	5	10000	10000	0.2	0.1	0.001	1	1
Test3	10	10000	10000	0.1	0.1	0.001	1	1
Test4	20	10000	10000	0.05	0.1	0.001	1	1
Test5	3	10000	10000	1	0.1	0.001	1	1
Test6	5	10000	10000	1	0.1	0.001	1	1
Test7	10	10000	10000	1	0.1	0.001	1	1
Test8	20	10000	10000	1	0.1	0.001	1	1
Test9	3	10000	10000	0.01	0.1	0.001	1	1
Test10	5	10000	10000	0.01	0.1	0.001	1	1
Test11	10	10000	10000	0.01	0.1	0.001	1	1
Test12	20	10000	10000	0.01	0.1	0.001	1	1
